epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63427,1.16539,3.38906,1.39518,0.00477,0.79654,0.05633,0.02553,1.08308,3.30745,1.4529,5e-05,5e-05,5e-05
2,4.43984,1.19988,3.32475,1.41383,0.00508,0.84452,0.19555,0.11885,0.96691,3.29132,1.3515,0.000112389,0.000112389,0.000112389
3,5.25084,1.10308,3.03998,1.30226,0.00539,0.90878,0.2778,0.18133,0.92298,3.21624,1.30047,0.000174654,0.000174654,0.000174654
4,6.03884,1.12281,2.77442,1.35023,0.00541,0.90878,0.26412,0.18477,0.87794,3.17216,1.27231,0.000236795,0.000236795,0.000236795
5,6.83879,1.07811,2.63088,1.28631,0.00559,0.91659,0.28494,0.20092,0.84471,3.03959,1.28541,0.000298812,0.000298812,0.000298812
6,7.62279,1.05631,2.49376,1.28483,0.00602,0.92492,0.32219,0.22602,0.84557,2.89922,1.29409,0.000360706,0.000360706,0.000360706
7,8.4113,1.05539,2.33885,1.29414,0.35148,0.11116,0.30051,0.21604,0.88822,2.7622,1.30857,0.000422475,0.000422475,0.000422475
8,9.18914,1.01332,2.13996,1.2563,0.49245,0.09277,0.31069,0.22235,0.90247,2.65692,1.32585,0.000484122,0.000484122,0.000484122
9,9.97915,1.02325,2.12589,1.26358,0.53185,0.19099,0.37069,0.26278,0.98013,2.61513,1.33912,0.000545644,0.000545644,0.000545644
10,10.7783,1.02818,1.99218,1.27642,0.59277,0.20599,0.43801,0.31998,0.95842,2.57133,1.31103,0.000607043,0.000607043,0.000607043
11,11.5673,0.98983,1.90329,1.20476,0.51797,0.47809,0.48806,0.31913,1.0884,2.29519,1.42571,0.000668318,0.000668318,0.000668318
12,12.3476,1.02186,1.77856,1.19408,0.4843,0.63063,0.52528,0.35036,1.07966,2.04,1.35199,0.000729469,0.000729469,0.000729469
13,13.1291,0.97328,1.73391,1.23205,0.49941,0.65493,0.57666,0.40111,1.01185,1.89179,1.32173,0.000790496,0.000790496,0.000790496
14,13.9262,1.01635,1.74153,1.24014,0.52246,0.67784,0.60673,0.42233,0.99067,1.84966,1.29678,0.0008514,0.0008514,0.0008514
15,14.7042,1.03327,1.71745,1.24114,0.60282,0.5878,0.62242,0.40526,1.15579,1.92085,1.44187,0.00091218,0.00091218,0.00091218
16,15.4712,0.98412,1.57629,1.17031,0.72225,0.53304,0.6836,0.44476,1.1444,1.90931,1.46146,0.000972836,0.000972836,0.000972836
17,16.2714,0.99967,1.55917,1.24577,0.65252,0.6344,0.66634,0.46078,1.0929,1.91645,1.40173,0.00103337,0.00103337,0.00103337
18,17.0464,1.0452,1.41604,1.22615,0.5693,0.69232,0.64124,0.38975,1.16886,2.03964,1.45758,0.00109378,0.00109378,0.00109378
19,17.8134,1.09057,1.48573,1.27094,0.62593,0.59227,0.62157,0.41817,1.10119,1.93238,1.39206,0.00115406,0.00115406,0.00115406
20,18.6974,0.98679,1.46042,1.19136,0.59846,0.55434,0.59722,0.37875,1.13213,2.07754,1.45451,0.00121422,0.00121422,0.00121422
21,19.4709,0.98783,1.43467,1.20738,0.5368,0.61923,0.58874,0.3805,1.2027,2.39511,1.57211,0.00122525,0.00122525,0.00122525
22,20.247,0.9834,1.39182,1.20244,0.51829,0.66753,0.58629,0.38782,1.11351,2.25883,1.44982,0.00122401,0.00122401,0.00122401
23,21.01,0.9134,1.34301,1.17551,0.6382,0.61104,0.66555,0.44815,1.09378,1.90829,1.39688,0.00122277,0.00122277,0.00122277
24,21.7901,0.94067,1.36057,1.19529,0.51196,0.57729,0.54282,0.33775,1.14063,2.3678,1.45194,0.00122154,0.00122154,0.00122154
25,22.5621,0.9011,1.41204,1.19318,0.57559,0.57302,0.52851,0.33557,1.20098,2.39191,1.51436,0.0012203,0.0012203,0.0012203
26,23.3351,0.94588,1.3182,1.164,0.67063,0.51535,0.53298,0.32177,1.21874,2.54451,1.51668,0.00121906,0.00121906,0.00121906
27,24.1081,0.87357,1.2923,1.14513,0.52121,0.59055,0.57621,0.36129,1.27901,2.32219,1.53663,0.00121783,0.00121783,0.00121783
