weight,horsepower,mpg
3504.0,130.0,18.0
3693.0,165.0,15.0
3436.0,150.0,18.0
3433.0,150.0,16.0
3449.0,140.0,17.0
4341.0,198.0,15.0
4354.0,220.0,14.0
4312.0,215.0,14.0
4425.0,225.0,14.0
3850.0,190.0,15.0
3563.0,170.0,15.0
3609.0,160.0,14.0
3761.0,150.0,15.0
3086.0,225.0,14.0
2372.0,95.0,24.0
2833.0,95.0,22.0
2774.0,97.0,18.0
2587.0,85.0,21.0
2130.0,88.0,27.0
1835.0,46.0,26.0
2672.0,87.0,25.0
2430.0,90.0,24.0
2375.0,95.0,25.0
2234.0,113.0,26.0
2648.0,90.0,21.0
4615.0,215.0,10.0
4376.0,200.0,10.0
4382.0,210.0,11.0
4732.0,193.0,9.0
2130.0,88.0,27.0
2264.0,90.0,28.0
2228.0,95.0,25.0
2634.0,100.0,19.0
3439.0,105.0,16.0
3329.0,100.0,17.0
3302.0,88.0,19.0
3288.0,100.0,18.0
4209.0,165.0,14.0
4464.0,175.0,14.0
4154.0,153.0,14.0
4096.0,150.0,14.0
4955.0,180.0,12.0
4746.0,170.0,13.0
5140.0,175.0,13.0
2962.0,110.0,18.0
2408.0,72.0,22.0
3282.0,100.0,19.0
3139.0,88.0,18.0
2220.0,86.0,23.0
2123.0,90.0,28.0
2074.0,70.0,30.0
2065.0,76.0,30.0
1773.0,65.0,31.0
1613.0,69.0,35.0
1834.0,60.0,27.0
1955.0,70.0,26.0
2278.0,95.0,24.0
2126.0,80.0,25.0
2254.0,54.0,23.0
2408.0,90.0,20.0
2226.0,86.0,21.0
4274.0,165.0,13.0
4385.0,175.0,14.0
4135.0,150.0,15.0
4129.0,153.0,14.0
3672.0,150.0,17.0
4633.0,208.0,11.0
4502.0,155.0,13.0
4456.0,160.0,12.0
4422.0,190.0,13.0
2330.0,97.0,19.0
3892.0,150.0,15.0
4098.0,130.0,13.0
4294.0,140.0,13.0
4077.0,150.0,14.0
2933.0,112.0,18.0
2511.0,76.0,22.0
2979.0,87.0,21.0
2189.0,69.0,26.0
2395.0,86.0,22.0
2288.0,92.0,28.0
2506.0,97.0,23.0
2164.0,80.0,28.0
2100.0,88.0,27.0
4100.0,175.0,13.0
3672.0,150.0,14.0
3988.0,145.0,13.0
4042.0,137.0,14.0
3777.0,150.0,15.0
4952.0,198.0,12.0
4464.0,150.0,13.0
4363.0,158.0,13.0
4237.0,150.0,14.0
4735.0,215.0,13.0
4951.0,225.0,12.0
3821.0,175.0,13.0
3121.0,105.0,18.0
3278.0,100.0,16.0
2945.0,100.0,18.0
3021.0,88.0,18.0
2904.0,95.0,23.0
1950.0,46.0,26.0
4997.0,150.0,11.0
4906.0,167.0,12.0
4654.0,170.0,13.0
4499.0,180.0,12.0
2789.0,100.0,18.0
2279.0,88.0,20.0
2401.0,72.0,21.0
2379.0,94.0,22.0
2124.0,90.0,18.0
2310.0,85.0,19.0
2472.0,107.0,21.0
2265.0,90.0,26.0
4082.0,145.0,15.0
4278.0,230.0,16.0
1867.0,49.0,29.0
2158.0,75.0,24.0
2582.0,91.0,20.0
2868.0,112.0,19.0
3399.0,150.0,15.0
2660.0,110.0,24.0
2807.0,122.0,20.0
3664.0,180.0,11.0
3102.0,95.0,20.0
2901.0,100.0,19.0
3336.0,100.0,15.0
1950.0,67.0,31.0
2451.0,80.0,26.0
1836.0,65.0,32.0
2542.0,75.0,25.0
3781.0,100.0,16.0
3632.0,110.0,16.0
3613.0,105.0,18.0
4141.0,140.0,16.0
4699.0,150.0,13.0
4457.0,150.0,14.0
4638.0,140.0,14.0
4257.0,150.0,14.0
2219.0,83.0,29.0
1963.0,67.0,26.0
2300.0,78.0,26.0
1649.0,52.0,31.0
2003.0,61.0,32.0
2125.0,75.0,28.0
2108.0,75.0,24.0
2246.0,75.0,26.0
2489.0,97.0,24.0
2391.0,93.0,26.0
2000.0,67.0,31.0
3264.0,95.0,19.0
3459.0,105.0,18.0
3432.0,72.0,15.0
3158.0,72.0,15.0
4668.0,170.0,16.0
4440.0,145.0,15.0
4498.0,150.0,16.0
4657.0,148.0,14.0
3907.0,110.0,17.0
3897.0,105.0,16.0
3730.0,110.0,15.0
3785.0,95.0,18.0
3039.0,110.0,21.0
3221.0,110.0,20.0
3169.0,129.0,13.0
2171.0,75.0,29.0
2639.0,83.0,23.0
2914.0,100.0,20.0
2592.0,78.0,23.0
2702.0,96.0,24.0
2223.0,71.0,25.0
2545.0,97.0,24.0
2984.0,97.0,18.0
1937.0,70.0,29.0
3211.0,90.0,19.0
2694.0,95.0,23.0
2957.0,88.0,23.0
2945.0,98.0,22.0
2671.0,115.0,25.0
1795.0,53.0,33.0
2464.0,86.0,28.0
2220.0,81.0,25.0
2572.0,92.0,25.0
2255.0,79.0,26.0
2202.0,83.0,27.0
4215.0,140.0,17.5
4190.0,150.0,16.0
3962.0,120.0,15.5
4215.0,152.0,14.5
3233.0,100.0,22.0
3353.0,105.0,22.0
3012.0,81.0,24.0
3085.0,90.0,22.5
2035.0,52.0,29.0
2164.0,60.0,24.5
1937.0,70.0,29.0
1795.0,53.0,33.0
3651.0,100.0,20.0
3574.0,78.0,18.0
3645.0,110.0,18.5
3193.0,95.0,17.5
1825.0,71.0,29.5
1990.0,70.0,32.0
2155.0,75.0,28.0
2565.0,72.0,26.5
3150.0,102.0,20.0
3940.0,150.0,13.0
3270.0,88.0,19.0
2930.0,108.0,19.0
3820.0,120.0,16.5
4380.0,180.0,16.5
4055.0,145.0,13.0
3870.0,130.0,13.0
3755.0,150.0,13.0
2045.0,68.0,31.5
2155.0,80.0,30.0
1825.0,58.0,36.0
